mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
8	7	42	42	2.0	1	1	3/2	4	1	1/2	1/2	1		5	47	B2	2	132
8	7	43	43	1.0	5/4	5/4	3/2	2	1	1/4	1/4	1		9	75	D#5	5	124
8	7	43	43	1.0	5/4	5/4	3/2	1	1	1/4	1/4	1		4	76	E5	5	121
9	8	44	44	4.0	0	0	3/2	3	1	1	1	1		4	52	E3	3	135
9	8	44	44	4.0	0	0	3/2	4	1	1	1	1		4	52	E3	3	136
9	8	44	44	4.0	0	0	3/2	1	1	1	1	1		4	76	E5	5	133
9	8	44	44	4.0	0	0	3/2	2	1	1	1	1		4	76	E5	5	134
10	8	48	48	2.0	0	1	3/2	3	1	1/2	1/2	1		4	52	E3	3	140
10	8	48	48	2.0	0	1	3/2	4	1	1/2	1/2	1		4	52	E3	3	141
10	8	48	48	2.0	0	1	3/2	2	1	1/2	1/2	1		8	68	G#4	4	139
10	8	48	48	1.0	0	1	3/2	1	1	1/4	1/4	1		5	71	B4	4	137
10	8	49	49	1.0	1/4	5/4	3/2	1	1	1/4	1/4	1		7	73	C#5	5	138
11	9	50	50	1.0	0	0	3/2	3	1	1/4	1/4	1		6	54	F#3	3	148
11	9	50	50	1.0	0	0	3/2	4	1	1/4	1/4	1		6	54	F#3	3	154
11	9	50	50	4.0	0	0	3/2	2	1	1	1	1		3	69	A4	4	146
11	9	50	50	3.0	0	0	3/2	1	1	3/4	1/2	3/2		2	74	D5	5	142
11	9	51	51	1.0	1/4	1/4	3/2	3	1	1/4	1/4	1		4	52	E3	3	149
11	9	51	51	1.0	1/4	1/4	3/2	4	1	1/4	1/4	1		4	52	E3	3	155
11	9	52	52	1.0	1/2	1/2	3/2	3	1	1/4	1/4	1		6	54	F#3	3	150
11	9	52	52	1.0	1/2	1/2	3/2	4	1	1/4	1/4	1		6	54	F#3	3	156
11	9	53	53	1.0	3/4	3/4	3/2	3	1	1/4	1/4	1		3	57	A3	3	151
11	9	53	53	1.0	3/4	3/4	3/2	4	1	1/4	1/4	1		3	57	A3	3	157
11	9	53	53	1.0	3/4	3/4	3/2	1	1	1/4	1/4	1		2	74	D5	5	143
11	9	54	54	1.0	1	1	3/2	3	1	1/4	1/4	1		8	56	G#3	3	152
11	9	54	54	1.0	1	1	3/2	4	1	1/4	1/4	1		8	56	G#3	3	158
11	9	54	54	2.0	1	1	3/2	2	1	1/2	1/2	1		5	71	B4	4	147
11	9	54	54	1.0	1	1	3/2	1	1	1/4	1/4	1		4	76	E5	5	144
11	9	55	55	1.0	5/4	5/4	3/2	3	1	1/4	1/4	1		5	59	B3	3	153
11	9	55	55	1.0	5/4	5/4	3/2	4	1	1/4	1/4	1		5	59	B3	3	159
11	9	55	55	1.0	5/4	5/4	3/2	1	1	1/4	1/4	1		5	71	B4	4	145
12	10	56	56	1.0	0	0	3/2	3	1	1/4	1/4	1		3	57	A3	3	166
12	10	56	56	1.0	0	0	3/2	4	1	1/4	1/4	1		3	57	A3	3	172
12	10	56	56	3.0	0	0	3/2	2	1	3/4	1/2	3/2		4	64	E4	4	163
12	10	56	56	3.0	0	0	3/2	1	1	3/4	1/2	3/2		7	73	C#5	5	160
12	10	57	57	1.0	1/4	1/4	3/2	3	1	1/4	1/4	1		8	56	G#3	3	167
12	10	57	57	1.0	1/4	1/4	3/2	4	1	1/4	1/4	1		8	56	G#3	3	173
12	10	58	58	1.0	1/2	1/2	3/2	3	1	1/4	1/4	1		3	57	A3	3	168
12	10	58	58	1.0	1/2	1/2	3/2	4	1	1/4	1/4	1		3	57	A3	3	174
12	10	59	59	1.0	3/4	3/4	3/2	3	1	1/4	1/4	1		7	61	C#4	4	169
12	10	59	59	1.0	3/4	3/4	3/2	4	1	1/4	1/4	1		7	61	C#4	4	175
12	10	59	59	1.0	3/4	3/4	3/2	2	1	1/4	1/4	1		4	64	E4	4	164
12	10	59	59	1.0	3/4	3/4	3/2	1	1	1/4	1/4	1		7	73	C#5	5	161
12	10	60	60	1.0	1	1	3/2	3	1	1/4	1/4	1		2	62	D4	4	170
12	10	60	60	1.0	1	1	3/2	4	1	1/4	1/4	1		2	62	D4	4	176
12	10	60	60	2.0	1	1	3/2	2	1	1/2	1/2	1		3	69	A4	4	165
12	10	60	60	2.0	1	1	3/2	1	1	1/2	1/2	1	1	6	78	F#5	5	162
12	10	61	61	1.0	5/4	5/4	3/2	3	1	1/4	1/4	1		3	57	A3	3	171
12	10	61	61	1.0	5/4	5/4	3/2	4	1	1/4	1/4	1		3	57	A3	3	177
13	11	62	62	1.0	0	0	3/2	3	1	1/4	1/4	1		5	59	B3	3	185
13	11	62	62	1.0	0	0	3/2	4	1	1/4	1/4	1		5	59	B3	3	191
13	11	62	62	1.0	0	0	3/2	1	1	1/4	1/4	1	-1	6	78	F#5	5	178
13	11	62	62	2.0	0	0	3/2	2	1	1/2	1/2	1		6	78	F#5	5	182
13	11	63	63	1.0	1/4	1/4	3/2	3	1	1/4	1/4	1		8	56	G#3	3	186
13	11	63	63	1.0	1/4	1/4	3/2	4	1	1/4	1/4	1		8	56	G#3	3	192
13	11	63	63	1.0	1/4	1/4	3/2	1	1	1/4	1/4	1		8	80	G#5	5	179
13	11	64	64	1.0	1/2	1/2	3/2	3	1	1/4	1/4	1		7	61	C#4	4	187
13	11	64	64	1.0	1/2	1/2	3/2	4	1	1/4	1/4	1		7	61	C#4	4	193
13	11	64	64	3.0	1/2	1/2	3/2	2	1	3/4	1/2	3/2		6	78	F#5	5	183
13	11	64	64	3.0	1/2	1/2	3/2	1	1	3/4	1/2	3/2		8	80	G#5	5	180
13	11	65	65	1.0	3/4	3/4	3/2	3	1	1/4	1/4	1		5	59	B3	3	188
13	11	65	65	1.0	3/4	3/4	3/2	4	1	1/4	1/4	1		5	59	B3	3	194
13	11	66	66	1.0	1	1	3/2	3	1	1/4	1/4	1		7	61	C#4	4	189
13	11	66	66	1.0	1	1	3/2	4	1	1/4	1/4	1		7	61	C#4	4	195
13	11	67	67	1.0	5/4	5/4	3/2	3	1	1/4	1/4	1		7	49	C#3	3	190
